Player,Points/G,Rebounds/G,Assists/G,3PM/g,Blk/G
Anthony Edwards,19.1,5.2,2.8,2.3,0.6
Lamelo Ball,22,9.6,8.8,3.7,0.1
Obi Toppin,20,7.6,2.2,1,1.2
Deni Avdija,17.29,6.91,4.43,5.43,1.86
Isaac Okoro ,12.8,4.4,2,0.7,0.9
Onyeka Okongwu,16.2,8.7,1.1,0,2.7
Killian Hayes,17.8,4,5.4,3.6,0.2
Tyrese Haliburton,15.2,5.9,6.5,2.4,0.7
James Wiseman,19.7,10.6,0.3,0,3
Precious Achiuwa,15.8,10.8,1,0.4,1.9
Cole Anthony,18.5,5.7,4,2.2,0.3
Aaron Nesmith,23,4.9,0.9,4.3,0.9
Tyrese Maxey,14,4.3,3.2,1.1,0.4
Saddiq Bey,16.1,4.8,2.4,2.5,0.4
Jah'mius Ramsey,15,4,2.2,2.2,0.7
Patrick Williams,9.2,4,1,0.6,1
Aleksej Pokusevski,15.82,9.91,5.09,3.55,1.82
Vernon Carey Jr.,17.8,8.7,1,0.3,1.6
RJ Hampton,13.8,5.8,4.4,0.9,0.3
Josh Green,12,4.6,2.6,1,0.4
Zeke Nnaji,16.1,8.6,0.8,0.2,0.9
Jaden McDaniels,13,5.8,2.1,1.4,1.4
Jalen Smith,15.5,10.5,0.8,1,2.4
Nico Mannion,14,2.6,5.3,1.7,0
Leandro Bolmaro,8,1.7,2.5,2,0.1
Kira Lewis Jr.,18.5,4.8,5.2,1.8,0.6
Tyler Bey,13.8,9,1.5,0.4,1.2
Theo Maledon,7.4,1.8,3.1,0.8,0.1
Tre Jones,16.2,4.2,6.4,1.3,0.3
Isaiah Stewart,17,8.8,0.8,0.2,2.1
Devin Vassell,12.7,5.1,1.6,1.5,1
Immanuel Quickley,16.1,4.2,1.5,2.1,0.1
Mammadi Diakite,13.7,6.8,0.6,0.7,1.3
Cassius Winston,18.6,2.5,5.9,2.4,0
Yves Pons,10.8,5.4,1.1,1,2.4
Tyrell Terry,14.6,4.5,3.2,2,0.1
Jordan Nwora,18,7.7,1.3,2.45,0.26
Xavier Tillman,13.7,10.3,3,0.4,2.1
Killian Tillie,13.6,5,1.9,1.5,0.8
